	Unnamed: 0	index	prefix	input_text	target_text	input_text_fa	target_text_fa	natural	natural_fa	natural_input_text_en	natural_target_text	natural_input_text_fa	natural_target_text_fa
0	0	0	xIntent	PersonX uses PersonX's ___ to obtain	to have an advantage	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	داشتن یک مزیت	PersonX uses PersonX's ___ to obtain. PersonX intends to have an advantage	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد یک مزیت داشته باشد	PersonX uses PersonX's ___ to obtain	 PersonX intends to have an advantage	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد یک مزیت داشته باشد
1	1	1	xIntent	PersonX uses PersonX's ___ to obtain	to fulfill a desire	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	تحقق آرزو	PersonX uses PersonX's ___ to obtain. PersonX intends to fulfill a desire	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد آرزویی را برآورده کند	PersonX uses PersonX's ___ to obtain	 PersonX intends to fulfill a desire	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد آرزویی را برآورده کند
2	2	2	xIntent	PersonX uses PersonX's ___ to obtain	to get out of trouble	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	برای نجات از دردسر	PersonX uses PersonX's ___ to obtain. PersonX intends to get out of trouble	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد از مشکلات خارج شود	PersonX uses PersonX's ___ to obtain	 PersonX intends to get out of trouble	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد از مشکلات خارج شود
3	3	3	xIntent	PersonX uses PersonX's ___ to obtain	to be powerful	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	قدرتمند بودن	PersonX uses PersonX's ___ to obtain. PersonX intends to be powerful	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد قدرتمند باشد	PersonX uses PersonX's ___ to obtain	 PersonX intends to be powerful	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد قدرتمند باشد
4	4	4	xIntent	PersonX uses PersonX's ___ to obtain	to be influential	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	تأثیرگذار بودن	PersonX uses PersonX's ___ to obtain. PersonX intends to be influential	PersonX از ___ PersonX برای بدست آوردن استفاده می کند. PersonX قصد دارد تأثیرگذار باشد	PersonX uses PersonX's ___ to obtain	 PersonX intends to be influential	PersonX از ___ PersonX برای بدست آوردن استفاده می کند	 PersonX قصد دارد تأثیرگذار باشد
5	5	5	xIntent	PersonX changes men 's ___	to reform men with a bad attitude.	PersonX مردان را ___ تغییر می دهد	اصلاح مردان با نگرش بد.	PersonX changes men 's ___. PersonX intends to reform men with a bad attitude.	PersonX ___ مردان را تغییر می دهد. PersonX قصد دارد مردان را با نگرش بد اصلاح کند.	PersonX changes men 's ___	 PersonX intends to reform men with a bad attitude	PersonX ___ مردان را تغییر می دهد	 PersonX قصد دارد مردان را با نگرش بد اصلاح کند
6	6	6	xIntent	PersonX changes men 's ___	good about themselves	PersonX مردان را ___ تغییر می دهد	خوب در مورد خودشان	PersonX changes men 's ___. PersonX intends good about themselves	PersonX ___ مردان را تغییر می دهد. PersonX قصد خوبی در مورد خود دارد	PersonX changes men 's ___	 PersonX intends good about themselves	PersonX ___ مردان را تغییر می دهد	 PersonX قصد خوبی در مورد خود دارد
7	7	7	xIntent	PersonX thanks ___ for PersonY's assistance	to be respectful	PersonX از ___ برای کمک به PersonY تشکر می کند	محترم بودن	PersonX thanks ___ for PersonY's assistance. PersonX intends to be respectful	PersonX از ___ برای کمک به PersonY تشکر می کند. PersonX قصد دارد احترام بگذارد	PersonX thanks ___ for PersonY's assistance	 PersonX intends to be respectful	PersonX از ___ برای کمک به PersonY تشکر می کند	 PersonX قصد دارد احترام بگذارد
8	8	8	xIntent	PersonX thanks ___ for PersonY's assistance	to show gratitude	PersonX از ___ برای کمک به PersonY تشکر می کند	برای قدردانی	PersonX thanks ___ for PersonY's assistance. PersonX intends to show gratitude	PersonX از ___ برای کمک به PersonY تشکر می کند. PersonX قصد دارد قدردانی کند	PersonX thanks ___ for PersonY's assistance	 PersonX intends to show gratitude	PersonX از ___ برای کمک به PersonY تشکر می کند	 PersonX قصد دارد قدردانی کند
9	9	9	xIntent	PersonX thanks ___ for PersonY's assistance	to be polite	PersonX از ___ برای کمک به PersonY تشکر می کند	مودب بودن	PersonX thanks ___ for PersonY's assistance. PersonX intends to be polite	PersonX از ___ برای کمک به PersonY تشکر می کند. PersonX قصد دارد مودب باشد	PersonX thanks ___ for PersonY's assistance	 PersonX intends to be polite	PersonX از ___ برای کمک به PersonY تشکر می کند	 PersonX قصد دارد مودب باشد
10	10	10	xIntent	PersonX lets loose a ___	to instill fear into the people	PersonX به شما اجازه می دهد ___	برای ایجاد ترس به مردم	PersonX lets loose a ___. PersonX intends to instill fear into the people	PersonX اجازه می دهد تا یک ___ را شل کنید. PersonX قصد دارد ترس را به مردم القا کند	PersonX lets loose a ___	 PersonX intends to instill fear into the people	PersonX اجازه می دهد تا یک ___ را شل کنید	 PersonX قصد دارد ترس را به مردم القا کند
11	11	11	xIntent	PersonX calls ___ to the importance	people to know what is important	PersonX ___ را به اهمیت فرا می خواند	مردم بدانند چه چیزی مهم است	PersonX calls ___ to the importance. PersonX intends people to know what is important	PersonX ___ را به اهمیت فرا می خواند. PersonX قصد دارد مردم بدانند چه چیزی مهم است	PersonX calls ___ to the importance	 PersonX intends people to know what is important	PersonX ___ را به اهمیت فرا می خواند	 PersonX قصد دارد مردم بدانند چه چیزی مهم است
12	12	12	xIntent	PersonX calls ___ to the importance	others to understand the urgency	PersonX ___ را به اهمیت فرا می خواند	دیگران برای فهمیدن فوریت	PersonX calls ___ to the importance. PersonX intends others to understand the urgency	PersonX ___ را به اهمیت فرا می خواند. PersonX قصد دارد دیگران فوریت را درک کنند	PersonX calls ___ to the importance	 PersonX intends others to understand the urgency	PersonX ___ را به اهمیت فرا می خواند	 PersonX قصد دارد دیگران فوریت را درک کنند
13	13	13	xIntent	PersonX sets ___ on the moon	the  personal	PersonX ___ را روی ماه تنظیم می کند	شخصی	PersonX sets ___ on the moon. PersonX intends the  personal	PersonX ___ را روی ماه تنظیم می کند. PersonX قصد شخصی را دارد	PersonX sets ___ on the moon	 PersonX intends the  personal	PersonX ___ را روی ماه تنظیم می کند	 PersonX قصد شخصی را دارد
14	14	14	xIntent	PersonX pays ___ to get	to get off the hook.	PersonX برای دریافت ___ پرداخت می کند	از قلاب خارج شود.	PersonX pays ___ to get. PersonX intends to get off the hook.	PersonX برای دریافت ___ پرداخت می کند. PersonX قصد دارد از قلاب خارج شود.	PersonX pays ___ to get	 PersonX intends to get off the hook	PersonX برای دریافت ___ پرداخت می کند	 PersonX قصد دارد از قلاب خارج شود
15	15	15	xIntent	PersonX pays ___ to get	to get away with something he did.	PersonX برای دریافت ___ پرداخت می کند	برای فرار از کاری که او انجام داده است.	PersonX pays ___ to get. PersonX intends to get away with something he did.	PersonX برای دریافت ___ پرداخت می کند. PersonX قصد دارد با کاری که انجام داده کنار بیاید.	PersonX pays ___ to get	 PersonX intends to get away with something he did	PersonX برای دریافت ___ پرداخت می کند	 PersonX قصد دارد با کاری که انجام داده کنار بیاید
16	16	16	xIntent	PersonX devotes PersonX's ___ to the study	to be successful	PersonX ___ PersonX را به مطالعه اختصاص داده است	برای موفق شدن	PersonX devotes PersonX's ___ to the study. PersonX intends to be successful	PersonX ___ PersonX را به مطالعه اختصاص داده است. PersonX قصد موفقیت دارد	PersonX devotes PersonX's ___ to the study	 PersonX intends to be successful	PersonX ___ PersonX را به مطالعه اختصاص داده است	 PersonX قصد موفقیت دارد
17	17	17	xIntent	PersonX devotes PersonX's ___ to the study	to be passionate about the study	PersonX ___ PersonX را به مطالعه اختصاص داده است	علاقه مند به مطالعه	PersonX devotes PersonX's ___ to the study. PersonX intends to be passionate about the study	PersonX ___ PersonX را به مطالعه اختصاص داده است. PersonX قصد دارد علاقه وافری به مطالعه داشته باشد	PersonX devotes PersonX's ___ to the study	 PersonX intends to be passionate about the study	PersonX ___ PersonX را به مطالعه اختصاص داده است	 PersonX قصد دارد علاقه وافری به مطالعه داشته باشد
18	18	18	xIntent	PersonX devotes PersonX's ___ to the study	succeed in the exams	PersonX ___ PersonX را به مطالعه اختصاص داده است	در امتحانات موفق شوید	PersonX devotes PersonX's ___ to the study. PersonX intends succeed in the exams	PersonX ___ PersonX را به مطالعه اختصاص داده است. PersonX قصد دارد در امتحانات موفق شود	PersonX devotes PersonX's ___ to the study	 PersonX intends succeed in the exams	PersonX ___ PersonX را به مطالعه اختصاص داده است	 PersonX قصد دارد در امتحانات موفق شود
19	19	19	xIntent	PersonX devotes PersonX's ___ to the study	to get ahead in life	PersonX ___ PersonX را به مطالعه اختصاص داده است	برای جلو افتادن در زندگی	PersonX devotes PersonX's ___ to the study. PersonX intends to get ahead in life	PersonX ___ PersonX را به مطالعه اختصاص داده است. PersonX قصد دارد در زندگی پیشی بگیرد	PersonX devotes PersonX's ___ to the study	 PersonX intends to get ahead in life	PersonX ___ PersonX را به مطالعه اختصاص داده است	 PersonX قصد دارد در زندگی پیشی بگیرد
20	20	20	xIntent	PersonX groups together ___	to meet all friends together	گروه های PersonX با هم ___	برای دیدار با همه دوستان	PersonX groups together ___. PersonX intends to meet all friends together	گروه های PersonX با هم ___. PersonX قصد دارد همه دوستان را با هم ملاقات کند	PersonX groups together ___	 PersonX intends to meet all friends together	گروه های PersonX با هم ___	 PersonX قصد دارد همه دوستان را با هم ملاقات کند
21	21	21	xIntent	PersonX groups together ___	to make a form of humans to develop our self	گروه های PersonX با هم ___	به شکلی از انسان ها بسازیم تا خودمان را بسازیم	PersonX groups together ___. PersonX intends to make a form of humans to develop our self	گروه های PersonX با هم ___. PersonX قصد دارد تا شکلی از انسان ها را برای رشد خود ایجاد کند	PersonX groups together ___	 PersonX intends to make a form of humans to develop our self	گروه های PersonX با هم ___	 PersonX قصد دارد تا شکلی از انسان ها را برای رشد خود ایجاد کند
22	22	22	xIntent	PersonX provides ___ for patients	to take care of people	PersonX ___ را برای بیماران فراهم می کند	مراقبت از مردم	PersonX provides ___ for patients. PersonX intends to take care of people	PersonX ___ را برای بیماران فراهم می کند. PersonX قصد دارد از افراد مراقبت کند	PersonX provides ___ for patients	 PersonX intends to take care of people	PersonX ___ را برای بیماران فراهم می کند	 PersonX قصد دارد از افراد مراقبت کند
23	23	23	xIntent	PersonX provides ___ for patients	to make them happy	PersonX ___ را برای بیماران فراهم می کند	تا آنها را خوشحال کند	PersonX provides ___ for patients. PersonX intends to make them happy	PersonX ___ را برای بیماران فراهم می کند. PersonX قصد دارد آنها را خوشحال کند	PersonX provides ___ for patients	 PersonX intends to make them happy	PersonX ___ را برای بیماران فراهم می کند	 PersonX قصد دارد آنها را خوشحال کند
24	24	24	xIntent	PersonX explains briefly the ___	to be good	PersonX مختصرا ___ را توضیح می دهد	خوب بودن	PersonX explains briefly the ___. PersonX intends to be good	PersonX مختصراً ___ را توضیح می دهد. PersonX قصد دارد خوب باشد	PersonX explains briefly the ___	 PersonX intends to be good	PersonX مختصراً ___ را توضیح می دهد	 PersonX قصد دارد خوب باشد
25	25	25	xIntent	PersonX explains briefly the ___	to make things clearer	PersonX مختصرا ___ را توضیح می دهد	برای شفاف سازی امور	PersonX explains briefly the ___. PersonX intends to make things clearer	PersonX مختصراً ___ را توضیح می دهد. PersonX قصد دارد امور را واضح تر کند	PersonX explains briefly the ___	 PersonX intends to make things clearer	PersonX مختصراً ___ را توضیح می دهد	 PersonX قصد دارد امور را واضح تر کند
26	26	26	xIntent	PersonX explains briefly the ___	everyone to be on the same level	PersonX مختصرا ___ را توضیح می دهد	همه در یک سطح باشند	PersonX explains briefly the ___. PersonX intends everyone to be on the same level	PersonX مختصراً ___ را توضیح می دهد. PersonX قصد دارد همه در یک سطح باشند	PersonX explains briefly the ___	 PersonX intends everyone to be on the same level	PersonX مختصراً ___ را توضیح می دهد	 PersonX قصد دارد همه در یک سطح باشند
27	27	27	xIntent	PersonX does ___ without consulting	to be independent	PersonX ___ را بدون مشاوره انجام می دهد	مستقل بودن	PersonX does ___ without consulting. PersonX intends to be independent	PersonX ___ را بدون مشاوره انجام می دهد. PersonX قصد دارد مستقل باشد	PersonX does ___ without consulting	 PersonX intends to be independent	PersonX ___ را بدون مشاوره انجام می دهد	 PersonX قصد دارد مستقل باشد
28	28	28	xIntent	PersonX does ___ without consulting	to decide for self.	PersonX ___ را بدون مشاوره انجام می دهد	تصمیم گیری برای خود.	PersonX does ___ without consulting. PersonX intends to decide for self.	PersonX ___ را بدون مشاوره انجام می دهد. PersonX قصد دارد خود تصمیم بگیرد.	PersonX does ___ without consulting	 PersonX intends to decide for self	PersonX ___ را بدون مشاوره انجام می دهد	 PersonX قصد دارد خود تصمیم بگیرد
29	29	29	xIntent	PersonX issues ___ to the amount	to be just and fair in his job.	PersonX ___ مبلغ را صادر می کند	در کار خود عادل و منصف باشد.	PersonX issues ___ to the amount. PersonX intends to be just and fair in his job.	PersonX ___ مبلغ را صادر می کند. PersonX قصد دارد در شغل خود عادل و منصف باشد.	PersonX issues ___ to the amount	 PersonX intends to be just and fair in his job	PersonX ___ مبلغ را صادر می کند	 PersonX قصد دارد در شغل خود عادل و منصف باشد
30	30	30	xIntent	PersonX waits a ___ to get	he wait a few second to get	PersonX منتظر است تا یک ___ دریافت کند	چند ثانیه صبر می کند تا بدست آورد	PersonX waits a ___ to get. PersonX intends he wait a few second to get	PersonX منتظر است تا یک ___ دریافت کند. PersonX قصد دارد چند ثانیه صبر کند تا بدست آورد	PersonX waits a ___ to get	 PersonX intends he wait a few second to get	PersonX منتظر است تا یک ___ دریافت کند	 PersonX قصد دارد چند ثانیه صبر کند تا بدست آورد
31	31	31	xIntent	PersonX obeys ___ rather	satisfied,	PersonX بیشتر از ___ اطاعت می کند	راضی،	PersonX obeys ___ rather. PersonX intends satisfied,	PersonX بیشتر از ___ اطاعت می کند. PersonX قصد دارد راضی باشد ،	PersonX obeys ___ rather	 PersonX intends satisfied,	PersonX بیشتر از ___ اطاعت می کند	 PersonX قصد دارد راضی باشد ،
32	32	32	xIntent	PersonX obeys ___ rather	law and order	PersonX بیشتر از ___ اطاعت می کند	قانون و نظم	PersonX obeys ___ rather. PersonX intends law and order	PersonX بیشتر از ___ اطاعت می کند. PersonX قصد قانون و نظم دارد	PersonX obeys ___ rather	 PersonX intends law and order	PersonX بیشتر از ___ اطاعت می کند	 PersonX قصد قانون و نظم دارد
33	33	33	xIntent	PersonX prevents ___ from developing	illness from developing	PersonX از پیشرفت ___ جلوگیری می کند	بیماری از رشد	PersonX prevents ___ from developing. PersonX intends illness from developing	PersonX از پیشرفت ___ جلوگیری می کند. PersonX از ابتلا به بیماری قصد بیماری دارد	PersonX prevents ___ from developing	 PersonX intends illness from developing	PersonX از پیشرفت ___ جلوگیری می کند	 PersonX از ابتلا به بیماری قصد بیماری دارد
34	34	34	xIntent	PersonX prevents ___ from developing	nation	PersonX از پیشرفت ___ جلوگیری می کند	ملت	PersonX prevents ___ from developing. PersonX intends nation	PersonX از پیشرفت ___ جلوگیری می کند. PersonX قصد ملت را دارد	PersonX prevents ___ from developing	 PersonX intends nation	PersonX از پیشرفت ___ جلوگیری می کند	 PersonX قصد ملت را دارد
35	35	35	xIntent	PersonX exceeds ___ for each person	i like this money	PersonX برای هر نفر از ___ بیشتر است	من این پول را دوست دارم	PersonX exceeds ___ for each person. PersonX intends i like this money	PersonX برای هر نفر از ___ بیشتر است. PersonX قصد دارد من این پول را دوست داشته باشم	PersonX exceeds ___ for each person	 PersonX intends i like this money	PersonX برای هر نفر از ___ بیشتر است	 PersonX قصد دارد من این پول را دوست داشته باشم
36	36	36	xIntent	PersonX exceeds ___ for each person	good workers	PersonX برای هر نفر از ___ بیشتر است	کارگران خوب	PersonX exceeds ___ for each person. PersonX intends good workers	PersonX برای هر نفر از ___ بیشتر است. PersonX قصد دارد کارگران خوبی باشد	PersonX exceeds ___ for each person	 PersonX intends good workers	PersonX برای هر نفر از ___ بیشتر است	 PersonX قصد دارد کارگران خوبی باشد
37	37	37	xIntent	PersonX draws ___ to the fact	to make something aware	PersonX ___ را به واقعیت جلب می کند	آگاهی دادن	PersonX draws ___ to the fact. PersonX intends to make something aware	PersonX ___ را به واقعیت جلب می کند. PersonX قصد دارد چیزی را آگاه کند	PersonX draws ___ to the fact	 PersonX intends to make something aware	PersonX ___ را به واقعیت جلب می کند	 PersonX قصد دارد چیزی را آگاه کند
38	38	38	xIntent	PersonX plays a ___ in bringing	none	PersonX در آوردن ___ بازی می کند	هیچ یک	PersonX plays a ___ in bringing. PersonX intends none	PersonX در آوردن ___ بازی می کند. PersonX قصد هیچ کدام را ندارد	PersonX plays a ___ in bringing	 PersonX intends none	PersonX در آوردن ___ بازی می کند	 PersonX قصد هیچ کدام را ندارد
39	39	39	xIntent	PersonX leaves one 's ___	to visit somewhere else	PersonX یکی را ترک می کند ___	برای بازدید از جای دیگر	PersonX leaves one 's ___. PersonX intends to visit somewhere else	PersonX یکی را ترک می کند ___. PersonX قصد دارد از مکان دیگری بازدید کند	PersonX leaves one 's ___	 PersonX intends to visit somewhere else	PersonX یکی را ترک می کند ___	 PersonX قصد دارد از مکان دیگری بازدید کند
40	40	40	xIntent	PersonX leaves one 's ___	because to vacate	PersonX یکی را ترک می کند ___	زیرا برای تخلیه	PersonX leaves one 's ___. PersonX intends because to vacate	PersonX یکی را ترک می کند ___. PersonX قصد دارد تا تخلیه کند	PersonX leaves one 's ___	 PersonX intends because to vacate	PersonX یکی را ترک می کند ___	 PersonX قصد دارد تا تخلیه کند
41	41	41	xIntent	PersonX left PersonZ's ___ behind PersonY	none	PersonX ___ PersonZ را از PersonY پشت سر گذاشت	هیچ یک	PersonX left PersonZ's ___ behind PersonY. PersonX intends none	PersonX ___ PersonZ را از PersonY پشت سر گذاشت. PersonX قصد هیچ کدام را ندارد	PersonX left PersonZ's ___ behind PersonY	 PersonX intends none	PersonX ___ PersonZ را از PersonY پشت سر گذاشت	 PersonX قصد هیچ کدام را ندارد
42	42	42	xIntent	PersonX left PersonZ's ___ behind PersonY	manage the parking situation.	PersonX ___ PersonZ را از PersonY پشت سر گذاشت	وضعیت پارکینگ را مدیریت کنید.	PersonX left PersonZ's ___ behind PersonY. PersonX intends manage the parking situation.	PersonX ___ PersonZ را از PersonY پشت سر گذاشت. PersonX قصد دارد وضعیت پارکینگ را مدیریت کند.	PersonX left PersonZ's ___ behind PersonY	 PersonX intends manage the parking situation	PersonX ___ PersonZ را از PersonY پشت سر گذاشت	 PersonX قصد دارد وضعیت پارکینگ را مدیریت کند
43	43	43	xIntent	PersonX left PersonZ's ___ behind PersonY	to hide something	PersonX ___ PersonZ را از PersonY پشت سر گذاشت	چیزی را پنهان کردن	PersonX left PersonZ's ___ behind PersonY. PersonX intends to hide something	PersonX ___ PersonZ را از PersonY پشت سر گذاشت. PersonX قصد دارد چیزی را پنهان کند	PersonX left PersonZ's ___ behind PersonY	 PersonX intends to hide something	PersonX ___ PersonZ را از PersonY پشت سر گذاشت	 PersonX قصد دارد چیزی را پنهان کند
44	44	44	xIntent	PersonX explains the ___ on the basis	to know	PersonX ___ را بر اساس توضیح می دهد	دانستن	PersonX explains the ___ on the basis. PersonX intends to know	PersonX ___ را بر اساس توضیح می دهد. PersonX قصد دارد بداند	PersonX explains the ___ on the basis	 PersonX intends to know	PersonX ___ را بر اساس توضیح می دهد	 PersonX قصد دارد بداند
45	45	45	xIntent	PersonX explains the ___ on the basis	to teach something new	PersonX ___ را بر اساس توضیح می دهد	برای آموزش چیز جدید	PersonX explains the ___ on the basis. PersonX intends to teach something new	PersonX ___ را بر اساس توضیح می دهد. PersonX قصد دارد چیز جدیدی را آموزش دهد	PersonX explains the ___ on the basis	 PersonX intends to teach something new	PersonX ___ را بر اساس توضیح می دهد	 PersonX قصد دارد چیز جدیدی را آموزش دهد
46	46	46	xIntent	PersonX explains the ___ on the basis	help people learn	PersonX ___ را بر اساس توضیح می دهد	به مردم کمک کنید تا یاد بگیرند	PersonX explains the ___ on the basis. PersonX intends help people learn	PersonX ___ را بر اساس توضیح می دهد. PersonX قصد دارد به مردم در یادگیری کمک کند	PersonX explains the ___ on the basis	 PersonX intends help people learn	PersonX ___ را بر اساس توضیح می دهد	 PersonX قصد دارد به مردم در یادگیری کمک کند
47	47	47	xIntent	PersonX exercises ___ over others	to command a room	PersonX ___ بیش از دیگران تمرین می کند	برای فرمان دادن به یک اتاق	PersonX exercises ___ over others. PersonX intends to command a room	PersonX ___ بیش از دیگران تمرین می کند. PersonX قصد دارد به یک اتاق فرمان دهد	PersonX exercises ___ over others	 PersonX intends to command a room	PersonX ___ بیش از دیگران تمرین می کند	 PersonX قصد دارد به یک اتاق فرمان دهد
48	48	48	xIntent	PersonX exercises ___ over others	to dominate in his company.	PersonX ___ بیش از دیگران تمرین می کند	در شرکت او تسلط یابد.	PersonX exercises ___ over others. PersonX intends to dominate in his company.	PersonX ___ بیش از دیگران تمرین می کند. PersonX قصد دارد در شرکت خود تسلط یابد.	PersonX exercises ___ over others	 PersonX intends to dominate in his company	PersonX ___ بیش از دیگران تمرین می کند	 PersonX قصد دارد در شرکت خود تسلط یابد
49	49	49	xIntent	PersonX exercises ___ over others	to prove authoritative	PersonX ___ بیش از دیگران تمرین می کند	برای اثبات مقتدر بودن	PersonX exercises ___ over others. PersonX intends to prove authoritative	PersonX ___ بیش از دیگران تمرین می کند. PersonX قصد دارد معتبر بودن را اثبات کند	PersonX exercises ___ over others	 PersonX intends to prove authoritative	PersonX ___ بیش از دیگران تمرین می کند	 PersonX قصد دارد معتبر بودن را اثبات کند
